956 1 364
956 0 692
961 1 709
962 0 695
968 0 967
969 1 29
980 1 671
981 1 42
984 0 684
985 1 289
985 0 680
991 0 691
997 0 677
998 1 909
999 0 680
1001 1 288
1003 0 72
1008 1 709
1012 0 684
1013 1 363
1013 0 893
1024 1 152
1041 1 72
1042 1 712
1043 1 712
1058 1 591
1060 1 909
1067 0 687
1069 0 688
1074 0 692
1076 0 684
1084 1 709
1089 0 690
1092 1 195
1092 0 1086
1093 1 594
1094 1 364
1097 1 201
1099 1 941
1100 0 680
1101 1 627
1101 0 528
1105 1 292
1105 0 968
1106 0 687
1108 0 894
1111 1 1049
1111 0 72
1115 0 692
1116 0 690
1118 0 42
1123 1 596
1124 0 678
1125 1 1122
1128 0 685
1132 0 894
1133 1 910
1136 0 683
1137 1 310
1137 0 681
1138 0 238
1143 0 1086
1144 0 72
1154 0 680
1160 1 1054
1160 0 72
1163 0 681
1167 1 709
1170 0 695
1171 0 684
1174 0 685
1175 1 709
1182 0 895
1183 1 1119
1184 0 72
1190 1 522
1193 1 1114
1194 1 710
1194 0 684
1195 0 694
1196 0 895
1198 0 683
1199 0 681
1203 0 893
1206 1 589
1207 0 900
1209 0 689
1211 1 42
1212 1 152
1219 0 681
1226 0 894
1228 1 27
1231 1 364
1236 0 690
1244 1 76
1247 1 622
1248 0 695
1252 0 1086
1253 1 590
1254 0 1086
1255 0 693
1258 0 684
1259 0 694
1261 1 943
1264 0 893
1268 1 292
1273 0 72
1279 1 292
1283 1 195
1284 1 1207
1287 0 965
1289 0 686
1293 1 709
1294 1 710
1296 0 678
1297 0 681
1299 0 690
1303 0 1170
1306 1 769
1308 1 1119
1312 0 1086
1313 0 1086
1316 0 685
1318 0 695
1321 1 303
1327 0 682
1329 0 695
1336 0 693
1338 1 1119
1340 1 26
1346 0 695
1347 0 681
1348 0 682
1349 1 215
1350 0 1086
1353 1 81
1354 1 190
1357 1 75
1365 1 443
1365 0 1086
1367 1 619
1369 1 658
1370 1 26
1376 1 589
1387 1 660
1390 1 708
1392 1 30
1395 1 619
1398 0 893
1403 1 173
1406 0 894
1407 0 690
1408 1 909
1412 1 182
1413 1 70
1415 1 709
1416 0 1365
1420 1 363
1425 1 660
1426 0 688
1430 0 677
1432 1 363
1435 1 29
1436 0 1392
1442 0 680
1447 1 517
1447 0 895
1448 0 681
1450 1 667
1454 1 1120
1454 0 681
1457 0 1086
1458 1 709
1459 0 683
1462 0 681
1465 0 690
1471 0 1169
1472 0 693
1473 0 1086
1476 0 893
1481 1 596
1491 1 292
1491 0 682
1494 0 680
1498 1 152
1499 1 180
1502 0 893
1503 1 963
1512 0 687
1513 0 42
1518 1 712
1520 0 1460
1521 0 691
1522 1 1441
1525 0 72
1530 1 42
1533 0 680
1538 1 1049
1544 1 1230
1544 0 893
1548 0 681
1553 0 680
1554 0 893
1557 1 195
1559 0 1086
1560 1 1238
1561 1 1529
1563 1 709
1565 0 893
1583 0 894
1594 1 364
1596 0 1225
1597 0 1281
1604 1 1121
1610 1 195
1612 1 181
1615 0 72
1628 1 592
1633 1 1567
1637 1 1223
1638 1 152
1640 1 591
1641 1 1522
1643 1 1622
1645 1 363
1647 1 621
1652 1 1577
1664 1 1227
1694 0 690
1698 0 72
1701 1 1167
1703 0 1085
1708 0 72
1710 0 693
1724 1 1121
1724 0 683
1727 1 1227
1728 1 1168
1728 0 1086
1732 1 963
1734 1 80
1739 1 710
1749 0 680
1751 1 1530
1752 0 1747
1756 1 910
1759 1 1230
1762 0 684
1763 1 594
1763 0 1742
1773 0 693
1776 0 895
1777 0 72
1780 1 363
1785 1 599
1786 1 1769
1787 0 680
1788 1 301
1790 1 963
1791 0 893
1793 0 695
1794 0 894
1800 0 1744
1803 1 1719
1808 0 1086
1813 0 1749
1815 1 75
1815 0 894
1816 1 1558
1819 1 302
1824 1 1207
1828 0 1746
1829 1 1532
1836 0 1749
1837 0 895
1840 1 1531
1843 1 195
1844 0 1196
1848 1 41
1849 1 1525
1862 0 1743
1863 0 1546
1869 1 622
1877 1 289
1878 0 1745
1880 1 1569
1881 1 712
1883 1 1769
1885 0 1744
1886 0 1742
1894 0 72
1895 0 1748
1896 1 620
1901 0 1745
1902 1 621
1909 1 1527
1913 0 1751
1917 1 1770
1925 1 363
1926 1 1565
1926 0 1746
1927 0 678
1929 0 692
1931 1 1409
1935 1 1528
1938 0 687
1939 0 72
1940 1 1120
1941 0 1745
1942 1 1768
1947 0 894
1948 1 1049
1951 1 292
1952 0 900
1953 1 292
1954 0 686
1957 0 1748
1963 1 1530
1964 0 1744
1965 0 693
1967 1 364
1969 0 1750
1971 0 895
1974 1 148
1976 0 686
1977 0 1750
1980 1 1230
1983 1 1119
1988 1 620
1989 0 894
1992 1 1563
1995 0 893
1997 1 1054
1999 0 1169
2003 1 966
2009 1 1563
2011 0 680
2012 0 1746
2014 0 685
2017 0 1744
2018 0 895
2021 1 666
2022 1 73
2026 0 1748
2027 1 1119
2031 0 1751
2044 1 181
2049 1 292
2051 0 1749
2056 1 1565
2057 0 688
2058 0 1743
2060 1 595
2063 1 364
2064 1 1531
2064 0 895
2066 1 28
2067 1 198
2068 1 1769
2068 0 681
2069 0 72
2070 0 1744
2072 1 1559
2074 0 893
2079 0 709
2080 1 364
2083 0 1751
2085 0 1746
2088 1 1118
2095 0 681
2110 0 895
2113 1 292
2114 1 1764
2115 0 1086
2116 1 77
2117 1 1531
2124 1 1120
2125 1 1230
2128 0 1745
2138 0 1744
2140 1 2116
2142 1 363
2142 0 685
2145 1 947
2147 1 1770
2149 1 709
2154 0 1742
2155 0 1750
2165 1 1230
2167 1 31
2168 1 287
2171 1 1622
2173 0 690
2175 0 1365
2177 1 182
2180 1 2172
2185 1 622
2185 0 1170
2188 0 1546
2191 0 1748
2196 1 80
2200 1 1231
2211 0 2156
2215 0 72
2219 1 2068
2220 0 2155
2222 1 709
2224 1 911
2225 0 1744
2228 1 1532
2233 1 2054
2234 0 1086
2236 1 2070
2239 0 72
2243 1 1532
2252 0 680
2257 1 1617
2258 1 2072
2267 0 1086
2268 1 195
2271 0 894
2280 1 1527
2283 1 964
2285 1 1122
2286 1 709
2291 1 2067
2295 1 659
2298 1 963
2298 0 72
2308 1 1228
2312 1 791
2313 1 909
2330 0 1751
2332 1 1225
2332 0 683
2333 0 2127
2334 0 2126
2336 1 1441
2336 0 1205
2337 1 710
2337 0 1206
2346 1 2307
2349 1 1230
2355 1 1633
2356 1 1208
2358 1 1208
2361 0 2151
2364 1 619
2379 0 1742
2386 0 1748
2391 0 688
2394 0 1086
2395 0 680
2397 1 1532
