0 0 1 0 0 0 -nan -nan
35 80 35 61 26 35 30.434783 42.622951
35 81 35 61 26 35 30.172414 42.622951
35 81 35 62 26 36 30.172414 41.935484
35 81 35 63 26 37 30.172414 41.269841
35 81 35 64 26 38 30.172414 40.625000
35 82 35 64 26 38 29.914530 40.625000
35 82 35 65 26 39 29.914530 40.000000
35 82 35 66 26 40 29.914530 39.393939
35 83 35 66 26 40 29.661017 39.393939
36 83 35 66 26 40 30.252101 39.393939
36 84 35 66 26 40 30.000000 39.393939
36 84 35 67 26 41 30.000000 38.805970
36 84 36 67 26 41 30.000000 38.805970
36 84 37 67 26 41 30.000000 38.805970
36 85 37 67 26 41 29.752066 38.805970
36 86 37 67 26 41 29.508197 38.805970
36 87 37 67 26 41 29.268293 38.805970
36 88 37 67 26 41 29.032258 38.805970
36 88 38 67 26 41 29.032258 38.805970
37 88 38 67 26 41 29.600000 38.805970
37 88 38 68 26 42 29.600000 38.235294
37 88 38 69 26 43 29.600000 37.681159
37 88 38 70 26 44 29.600000 37.142857
37 89 38 70 26 44 29.365079 37.142857
38 89 38 70 26 44 29.921260 37.142857
38 89 39 70 26 44 29.921260 37.142857
38 90 39 70 26 44 29.687500 37.142857
38 90 40 70 26 44 29.687500 37.142857
38 91 40 70 26 44 29.457364 37.142857
38 92 40 70 26 44 29.230769 37.142857
39 92 40 70 26 44 29.770992 37.142857
39 92 40 71 26 45 29.770992 36.619718
39 92 41 71 26 45 29.770992 36.619718
39 92 42 71 26 45 29.770992 36.619718
39 92 43 71 26 45 29.770992 36.619718
39 93 43 71 26 45 29.545455 36.619718
39 93 44 71 26 45 29.545455 36.619718
39 94 44 71 26 45 29.323308 36.619718
39 94 45 71 26 45 29.323308 36.619718
40 94 45 71 26 45 29.850746 36.619718
40 94 46 71 26 45 29.850746 36.619718
40 94 46 72 26 46 29.850746 36.111111
40 94 46 73 26 47 29.850746 35.616438
40 94 46 74 26 48 29.850746 35.135135
40 94 46 75 26 49 29.850746 34.666667
40 94 47 75 26 49 29.850746 34.666667
41 94 47 75 26 49 30.370370 34.666667
41 95 47 75 26 49 30.147059 34.666667
41 95 47 76 26 50 30.147059 34.210526
41 95 47 77 26 51 30.147059 33.766234
41 95 47 78 26 52 30.147059 33.333333
41 96 47 78 26 52 29.927007 33.333333
42 96 47 78 26 52 30.434783 33.333333
42 96 47 79 26 53 30.434783 32.911392
43 96 47 79 26 53 30.935252 32.911392
43 97 47 79 26 53 30.714286 32.911392
43 98 47 79 26 53 30.496454 32.911392
43 98 47 80 26 54 30.496454 32.500000
44 98 47 80 26 54 30.985915 32.500000
45 98 47 80 26 54 31.468531 32.500000
45 99 47 80 26 54 31.250000 32.500000
45 100 47 80 26 54 31.034483 32.500000
45 101 47 80 26 54 30.821918 32.500000
45 102 47 80 26 54 30.612245 32.500000
45 102 47 81 26 55 30.612245 32.098765
45 103 47 81 26 55 30.405405 32.098765
45 104 47 81 26 55 30.201342 32.098765
46 104 47 81 26 55 30.666667 32.098765
46 104 47 82 26 56 30.666667 31.707317
46 105 47 82 26 56 30.463576 31.707317
47 105 47 82 26 56 30.921053 31.707317
47 105 47 83 26 57 30.921053 31.325301
48 105 47 83 26 57 31.372549 31.325301
48 105 47 84 26 58 31.372549 30.952381
49 105 47 84 26 58 31.818182 30.952381
49 105 47 85 26 59 31.818182 30.588235
49 106 47 85 26 59 31.612903 30.588235
49 107 47 85 26 59 31.410256 30.588235
49 108 47 85 26 59 31.210191 30.588235
49 108 48 85 26 59 31.210191 30.588235
49 109 48 85 26 59 31.012658 30.588235
49 109 49 85 26 59 31.012658 30.588235
49 109 49 86 26 60 31.012658 30.232558
49 109 49 87 26 61 31.012658 29.885057
49 109 49 88 26 62 31.012658 29.545455
50 109 49 88 26 62 31.446541 29.545455
51 109 49 88 26 62 31.875000 29.545455
51 110 49 88 26 62 31.677019 29.545455
51 110 49 89 26 63 31.677019 29.213483
51 111 49 89 26 63 31.481481 29.213483
52 111 49 89 26 63 31.901840 29.213483
52 111 49 90 26 64 31.901840 28.888889
52 111 50 90 26 64 31.901840 28.888889
53 111 50 90 26 64 32.317073 28.888889
53 112 50 90 26 64 32.121212 28.888889
53 112 50 91 26 65 32.121212 28.571429
53 112 51 91 26 65 32.121212 28.571429
53 112 51 92 26 66 32.121212 28.260870
53 112 52 92 26 66 32.121212 28.260870
53 113 52 92 26 66 31.927711 28.260870
54 113 52 92 26 66 32.335329 28.260870
54 114 52 92 26 66 32.142857 28.260870
55 114 52 92 26 66 32.544379 28.260870
55 114 52 93 26 67 32.544379 27.956989
55 114 52 94 26 68 32.544379 27.659574
56 114 52 94 26 68 32.941176 27.659574
57 114 52 94 26 68 33.333333 27.659574
58 114 52 94 26 68 33.720930 27.659574
58 114 53 94 26 68 33.720930 27.659574
58 115 53 94 26 68 33.526012 27.659574
58 116 53 94 26 68 33.333333 27.659574
58 117 53 94 26 68 33.142857 27.659574
58 117 54 94 26 68 33.142857 27.659574
59 117 54 94 26 68 33.522727 27.659574
59 118 54 94 26 68 33.333333 27.659574
60 118 54 94 26 68 33.707865 27.659574
60 118 54 95 26 69 33.707865 27.368421
60 119 54 95 26 69 33.519553 27.368421
60 119 54 96 26 70 33.519553 27.083333
60 120 54 96 26 70 33.333333 27.083333
60 120 54 97 26 71 33.333333 26.804124
60 120 55 97 26 71 33.333333 26.804124
60 120 55 98 26 72 33.333333 26.530612
60 120 55 99 26 73 33.333333 26.262626
60 121 55 99 26 73 33.149171 26.262626
60 121 55 100 26 74 33.149171 26.000000
61 121 55 100 26 74 33.516484 26.000000
62 121 55 100 26 74 33.879781 26.000000
62 122 55 100 26 74 33.695652 26.000000
62 122 56 100 26 74 33.695652 26.000000
62 123 56 100 26 74 33.513514 26.000000
62 124 56 100 26 74 33.333333 26.000000
62 124 56 101 26 75 33.333333 25.742574
62 125 56 101 26 75 33.155080 25.742574
62 125 56 102 26 76 33.155080 25.490196
62 125 56 103 26 77 33.155080 25.242718
62 126 56 103 26 77 32.978723 25.242718
62 126 56 104 26 78 32.978723 25.000000
62 126 56 105 26 79 32.978723 24.761905
62 127 56 105 26 79 32.804233 24.761905
62 128 56 105 26 79 32.631579 24.761905
62 128 57 105 26 79 32.631579 24.761905
62 129 57 105 26 79 32.460733 24.761905
62 130 57 105 26 79 32.291667 24.761905
62 130 58 105 26 79 32.291667 24.761905
62 131 58 105 26 79 32.124352 24.761905
63 131 58 105 26 79 32.474227 24.761905
63 132 58 105 26 79 32.307692 24.761905
63 132 58 106 26 80 32.307692 24.528302
63 133 58 106 26 80 32.142857 24.528302
63 133 59 106 26 80 32.142857 24.528302
64 133 59 106 26 80 32.487310 24.528302
65 133 59 106 26 80 32.828283 24.528302
66 133 59 106 26 80 33.165829 24.528302
67 133 59 106 26 80 33.500000 24.528302
67 134 59 106 26 80 33.333333 24.528302
68 134 59 106 26 80 33.663366 24.528302
68 134 60 106 26 80 33.663366 24.528302
68 135 60 106 26 80 33.497537 24.528302
68 135 60 107 26 81 33.497537 24.299065
68 135 61 107 26 81 33.497537 24.299065
68 136 61 107 26 81 33.333333 24.299065
68 136 62 107 26 81 33.333333 24.299065
68 136 63 107 26 81 33.333333 24.299065
68 136 63 108 26 82 33.333333 24.074074
68 137 63 108 26 82 33.170732 24.074074
68 137 64 108 26 82 33.170732 24.074074
69 137 64 108 26 82 33.495146 24.074074
69 137 65 108 26 82 33.495146 24.074074
69 137 65 109 26 83 33.495146 23.853211
69 137 66 109 26 83 33.495146 23.853211
70 137 66 109 26 83 33.816425 23.853211
70 138 66 109 26 83 33.653846 23.853211
71 138 66 109 26 83 33.971292 23.853211
71 138 66 110 26 84 33.971292 23.636364
71 138 66 111 26 85 33.971292 23.423423
72 138 66 111 26 85 34.285714 23.423423
72 139 66 111 26 85 34.123223 23.423423
72 140 66 111 26 85 33.962264 23.423423
72 140 66 112 26 86 33.962264 23.214286
72 141 66 112 26 86 33.802817 23.214286
72 141 67 112 26 86 33.802817 23.214286
72 142 67 112 26 86 33.644860 23.214286
72 142 67 113 26 87 33.644860 23.008850
72 142 67 114 26 88 33.644860 22.807018
72 142 67 115 26 89 33.644860 22.608696
72 142 67 116 26 90 33.644860 22.413793
72 143 67 116 26 90 33.488372 22.413793
72 143 67 117 26 91 33.488372 22.222222
72 143 67 118 26 92 33.488372 22.033898
72 144 67 118 26 92 33.333333 22.033898
72 145 67 118 26 92 33.179724 22.033898
72 146 67 118 26 92 33.027523 22.033898
72 146 67 119 26 93 33.027523 21.848739
73 146 67 119 26 93 33.333333 21.848739
73 146 68 119 26 93 33.333333 21.848739
73 146 68 120 26 94 33.333333 21.666667
74 146 68 120 26 94 33.636364 21.666667
74 147 68 120 26 94 33.484163 21.666667
75 147 68 120 26 94 33.783784 21.666667
75 147 69 120 26 94 33.783784 21.666667
75 147 69 121 26 95 33.783784 21.487603
75 147 69 122 26 96 33.783784 21.311475
76 147 69 122 26 96 34.080717 21.311475
76 148 69 122 26 96 33.928571 21.311475
76 149 69 122 26 96 33.777778 21.311475
76 149 69 123 26 97 33.777778 21.138211
76 150 69 123 26 97 33.628319 21.138211
76 151 69 123 26 97 33.480176 21.138211
76 152 69 123 26 97 33.333333 21.138211
76 153 69 123 26 97 33.187773 21.138211
77 153 69 123 26 97 33.478261 21.138211
77 154 69 123 26 97 33.333333 21.138211
77 155 69 123 26 97 33.189655 21.138211
77 155 69 124 26 98 33.189655 20.967742
78 155 69 124 26 98 33.476395 20.967742
78 156 69 124 26 98 33.333333 20.967742
78 156 70 124 26 98 33.333333 20.967742
78 157 70 124 26 98 33.191489 20.967742
78 157 70 125 26 99 33.191489 20.800000
78 157 70 126 26 100 33.191489 20.634921
78 157 71 126 26 100 33.191489 20.634921
78 157 71 127 26 101 33.191489 20.472441
78 157 71 128 26 102 33.191489 20.312500
78 157 71 129 26 103 33.191489 20.155039
78 157 71 130 26 104 33.191489 20.000000
79 157 71 130 26 104 33.474576 20.000000
79 158 71 130 26 104 33.333333 20.000000
79 158 72 130 26 104 33.333333 20.000000
79 159 72 130 26 104 33.193277 20.000000
79 159 73 130 26 104 33.193277 20.000000
80 159 73 130 26 104 33.472803 20.000000
80 159 73 131 26 105 33.472803 19.847328
80 160 73 131 26 105 33.333333 19.847328
80 161 73 131 26 105 33.195021 19.847328
80 161 73 132 26 106 33.195021 19.696970
80 161 74 132 26 106 33.195021 19.696970
80 162 74 132 26 106 33.057851 19.696970
80 163 74 132 26 106 32.921811 19.696970
80 163 75 132 26 106 32.921811 19.696970
80 163 75 133 26 107 32.921811 19.548872
80 164 75 133 26 107 32.786885 19.548872
80 165 75 133 26 107 32.653061 19.548872
80 165 76 133 26 107 32.653061 19.548872
80 166 76 133 26 107 32.520325 19.548872
80 166 76 134 26 108 32.520325 19.402985
80 167 76 134 26 108 32.388664 19.402985
80 168 76 134 26 108 32.258065 19.402985
80 169 76 134 26 108 32.128514 19.402985
80 170 76 134 26 108 32.000000 19.402985
80 171 76 134 26 108 31.872510 19.402985
80 172 76 134 26 108 31.746032 19.402985
80 173 76 134 26 108 31.620553 19.402985
81 173 76 134 26 108 31.889764 19.402985
81 173 76 135 26 109 31.889764 19.259259
82 173 76 135 26 109 32.156863 19.259259
83 173 76 135 26 109 32.421875 19.259259
83 173 76 136 26 110 32.421875 19.117647
83 173 76 137 26 111 32.421875 18.978102
84 173 76 137 26 111 32.684825 18.978102
84 174 76 137 26 111 32.558140 18.978102
84 175 76 137 26 111 32.432432 18.978102
84 176 76 137 26 111 32.307692 18.978102
84 177 76 137 26 111 32.183908 18.978102
84 178 76 137 26 111 32.061069 18.978102
84 178 77 137 26 111 32.061069 18.978102
84 178 78 137 26 111 32.061069 18.978102
84 179 78 137 26 111 31.939163 18.978102
85 179 78 137 26 111 32.196970 18.978102
85 180 78 137 26 111 32.075472 18.978102
85 180 78 138 26 112 32.075472 18.840580
85 181 78 138 26 112 31.954887 18.840580
86 181 78 138 26 112 32.209738 18.840580
86 182 78 138 26 112 32.089552 18.840580
86 182 79 138 26 112 32.089552 18.840580
