0 0 1 0 0 0 -nan -nan
10 12 28 21 14 7 45.454545 66.666667
10 13 28 21 14 7 43.478261 66.666667
10 13 29 21 14 7 43.478261 66.666667
10 14 29 21 14 7 41.666667 66.666667
10 14 29 22 14 8 41.666667 63.636364
10 14 29 23 14 9 41.666667 60.869565
10 14 30 23 14 9 41.666667 60.869565
10 15 30 23 14 9 40.000000 60.869565
10 16 30 23 14 9 38.461538 60.869565
10 17 30 23 14 9 37.037037 60.869565
10 18 30 23 14 9 35.714286 60.869565
10 19 30 23 14 9 34.482759 60.869565
10 20 30 23 14 9 33.333333 60.869565
10 20 30 24 15 9 33.333333 62.500000
11 20 30 24 15 9 35.483871 62.500000
11 20 30 25 16 9 35.483871 64.000000
11 20 30 26 16 10 35.483871 61.538462
11 20 31 26 16 10 35.483871 61.538462
11 21 31 26 16 10 34.375000 61.538462
11 22 31 26 16 10 33.333333 61.538462
11 23 31 26 16 10 32.352941 61.538462
11 23 31 27 16 11 32.352941 59.259259
11 23 32 27 16 11 32.352941 59.259259
11 23 33 27 16 11 32.352941 59.259259
11 23 34 27 16 11 32.352941 59.259259
11 23 34 28 16 12 32.352941 57.142857
11 23 35 28 16 12 32.352941 57.142857
11 23 35 29 16 13 32.352941 55.172414
12 23 35 29 16 13 34.285714 55.172414
12 23 35 30 16 14 34.285714 53.333333
12 23 36 30 16 14 34.285714 53.333333
12 23 36 31 16 15 34.285714 51.612903
12 24 36 31 16 15 33.333333 51.612903
12 24 37 31 16 15 33.333333 51.612903
12 24 37 32 17 15 33.333333 53.125000
12 25 37 32 17 15 32.432432 53.125000
12 25 37 33 18 15 32.432432 54.545455
12 25 38 33 18 15 32.432432 54.545455
13 25 38 33 18 15 34.210526 54.545455
13 25 39 33 18 15 34.210526 54.545455
13 25 40 33 18 15 34.210526 54.545455
14 25 40 33 18 15 35.897436 54.545455
14 25 41 33 18 15 35.897436 54.545455
14 25 41 34 18 16 35.897436 52.941176
14 26 41 34 18 16 35.000000 52.941176
14 26 41 35 18 17 35.000000 51.428571
14 26 41 36 19 17 35.000000 52.777778
14 26 41 37 19 18 35.000000 51.351351
14 26 41 38 19 19 35.000000 50.000000
14 26 42 38 19 19 35.000000 50.000000
14 26 43 38 19 19 35.000000 50.000000
